Exam Name,Quiz Links,Exam Date,Subject,Topics,Remaks
GO Classes 2025 | Weekly Quiz 33 | SQL | DBMS,https://gateoverflow.in/exam/705/go-classes-2025-weekly-quiz-33-sql-dbms,"Wednesday, 07 Aug 2024",DBMS,SQL,For Course enrolled students only
GO Classes 2025 | Weekly Quiz 34 | SQL | DBMS,https://gateoverflow.in/exam/706/go-classes-2025-weekly-quiz-34-sql-dbms,"Wednesday, 07 Aug 2024",DBMS,SQL,For Course enrolled students only
GO Classes 2025 | Weekly Quiz 35 | Normalization | DBMS,https://gateoverflow.in/exam/708/go-classes-2025-weekly-quiz-35-normalization-dbms,"Sunday, 11 Aug 2024",DBMS,Normalization,For Course enrolled students only
GO Classes 2025 | Weekly Quiz 36 | Relational Algebra | DBMS,https://gateoverflow.in/exam/717/go-classes-2025-weekly-quiz-36-relational-algebra-dbms,"Tuesday, 27 Aug 2024",DBMS,Relational Algebra,For Course enrolled students only
GO Classes 2025 | Weekly Quiz 37 | Relational Algebra | DBMS,https://gateoverflow.in/exam/718/go-classes-2025-weekly-quiz-37-relational-algebra-dbms,"Tuesday, 27 Aug 2024",DBMS,Relational Algebra,For Course enrolled students only
GO Classes CS 2025 | Weekly Quiz 38 | Finite Automata,https://gateoverflow.in/exam/736/go-classes-cs-2025-weekly-quiz-38-finite-automata,"Sunday, 08 Sep 2024",TOC,Finite Automata,For Course enrolled students only
GO Classes CS 2025 | Weekly Quiz 39 | Finite Automata and Regular Expression,https://gateoverflow.in/exam/737/go-classes-cs-2025-weekly-quiz-39-finite-automata-and-regular-expression,"Sunday, 08 Sep 2024",TOC,Finite Automata and Regular Expression,For Course enrolled students only
GO Classes CS 2025 | Weekly Quiz 40 | Finite Automata and Regular Expression | Stanford Questions,https://gateoverflow.in/exam/738/go-classes-cs-2025-weekly-quiz-40-finite-automata-and-regular-expression,"Sunday, 08 Sep 2024",TOC,Finite Automata and Regular Expression,For Course enrolled students only
GO Classes CS 2025 | Weekly Quiz 41| Subnetting and Supernetting,https://gateoverflow.in/exam/740/go-classes-cs-2025-weekly-quiz-41-subnetting-and-supernetting,"Sunday, 08 Sep 2024",CN,Subnetting and Supernetting,For Course enrolled students only
GO Classes 2025 | Weekly Quiz 42 | Context Free Grammar | Theory of Computation,https://gateoverflow.in/exam/781/go-classes-2025-weekly-quiz-42-context-free-grammar-theory-of-computation,"Friday, 15 Nov 2024",TOC,Context free grammar,For Course enrolled students only
GO Classes CS 2025 | Weekly Quiz 43 | Process Synchronization,https://gateoverflow.in/exam/782/go-classes-cs-2025-weekly-quiz-43-process-synchronization,"Friday, 15 Nov 2024",OS,Process Synchronization,For Course enrolled students only
"GO Classes 2025 | Weekly Quiz 44 | FA, CFL, DCFL | Theory of Computation",https://gateoverflow.in/exam/788/go-classes-2025-weekly-quiz-44-fa-cfl-dcfl-theory-of-computation,"Saturday, 23 Nov 2024",TOC,"FA, CLF, DCLF",Open to all
GO Classes 2025 | Weekly Quiz 45 | First Order Logic,https://gateoverflow.in/exam/797/go-classes-2025-weekly-quiz-46-first-order-logic,"Monday, 9 Dec 2024",Discrete Mathematics,First Order Logic,Open to all
